Alabama,AL,Montgomery,4802982
Alaska,AK,Juneau,721523
Arizona,AZ,Phoenix,6412700
Arkansas,AR,LittleRock,2926229
California,CA,Sacramento,37341989
Colorado,CO,Denver,4939456
Connecticut,CT,Hartford,3581628
District of Columbia,DC,NationalCapital,601723
Delaware,DE,Dover,900877
Florida,FL,Tallahassee,18900773
Georgia,GA,Atlanta,9727566
Hawaii,HI,Honolulu,1366862
Idaho,ID,Boise,1573499
Illinois,IL,Springfield,12864380
Indiana,IN,Indianapolis,6501582
Iowa,IA,DesMoines,3053787
Kansas,KS,Topeka,2863813
Kentucky,KY,Frankfort,4350606
Louisiana,LA,BatonRouge,4553962
Maine,ME,Augusta,1333074
Maryland,MD,Annapolis,5789929
Massachussets,MA,Boston,6559644
Michigan,MI,Lansing,9911626
Minnesota,MN,St.Paul,5314879
Mississippi,MS,Jackson,2978240
Missouri,MO,Jefferson,6011478
Montana,MT,Helena,994416
Nebraska,NE,Lincoln,1831825
Nevada,NV,CarsonCity,2709432
New Hampshire,NH,Concord,1321445
New Jersey,NJ,Trenton,8807501
New Mexico,NM,SantaFe,2067273
New York,NY,Albany,19421055
North Carolina,NC,Raleigh,9565781
North Dakota,ND,Bismarck,675905
Ohio,OH,Columbus,11568495
Oklahoma,OK,OklahomaCity,3764882
Oregon,OR,Salem,3848606
Pennsylvania,PA,Harrisburg,12734905
Rhode Island,RI,Providence,1055247
South Carolina,SC,Columbia,4645975
South Dakota,SD,Pierre,819761
Tennessee,TN,Nashville,6375431
Texas,TX,Austin,25268418
Utah,UT,SaltLakeCity,2770765
Vermont,VT,Montpelier,630337
Virginia,VA,Richmond,8037736
Washington,WA,Olympia,6753369
West Virginia,WV,Charleston,1859815
Wisconsin,WI,Madison,5698230
Wyoming,WY,Cheyenne,568300